"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/1999","289.60","292.70","292.90","289.30","30.70K","-0.96%"
"12/29/1999","292.40","291.80","293.60","291.50","14.93K","0.31%"
"12/28/1999","291.50","289.70","292.50","289.30","11.61K","0.59%"
"12/27/1999","289.80","287.90","290.10","287.90","11.90K","0.45%"
"12/23/1999","288.50","289.40","289.40","287.10","5.82K","-0.07%"
"12/22/1999","288.70","289.30","291.90","287.30","11.22K","-0.07%"
"12/21/1999","288.90","286.20","289.30","284.10","10.54K","1.01%"
"12/20/1999","286.00","285.40","286.70","285.30","23.48K","0.18%"
"12/17/1999","285.50","284.10","287.50","283.30","7.45K","0.60%"
"12/16/1999","283.80","285.00","285.20","281.70","23.14K","-0.28%"
"12/15/1999","284.60","282.50","285.80","281.30","21.00K","0.92%"
"12/14/1999","282.00","281.50","283.40","281.00","23.63K","-0.04%"
"12/13/1999","282.10","281.00","282.60","280.50","15.27K","0.39%"
"12/10/1999","281.00","280.20","283.70","279.30","12.34K","0.25%"
"12/09/1999","280.30","283.90","284.40","280.20","16.01K","-1.34%"
"12/08/1999","284.10","286.00","288.50","282.90","18.32K","-0.46%"
"12/07/1999","285.40","278.70","285.90","278.60","31.00K","2.59%"
"12/06/1999","278.20","282.50","282.50","276.20","23.43K","-1.38%"
"12/03/1999","282.10","287.30","287.40","281.90","26.67K","-1.74%"
"12/02/1999","287.10","291.90","292.00","286.00","28.87K","-1.64%"
"12/01/1999","291.90","293.00","294.00","290.80","44.89K","-0.38%"
"11/30/1999","293.00","293.60","294.90","292.90","17.72K","-0.17%"
"11/29/1999","293.50","299.50","299.50","292.40","21.07K","-1.97%"
"11/24/1999","299.40","298.60","300.40","297.30","23.42K","0.23%"
"11/23/1999","298.70","295.50","299.20","295.40","","1.05%"
"11/22/1999","295.60","295.40","296.60","294.80","39.63K","-0.03%"
"11/19/1999","295.70","295.50","296.40","293.80","26.58K","0.20%"
"11/18/1999","295.10","295.50","296.10","294.00","14.66K","-0.20%"
"11/17/1999","295.70","295.30","297.60","294.50","18.81K","0.14%"
"11/16/1999","295.30","292.30","296.00","292.30","19.39K","0.96%"
"11/15/1999","292.50","292.10","293.60","290.10","17.18K","0.14%"
"11/12/1999","292.10","294.80","295.50","291.90","18.06K","-0.95%"
"11/11/1999","294.90","299.10","300.40","294.30","23.98K","-1.40%"
"11/10/1999","299.10","293.30","299.80","292.30","24.47K","2.05%"
"11/09/1999","293.10","291.30","293.30","291.30","","0.69%"
"11/08/1999","291.10","291.00","291.30","288.10","17.04K","0.03%"
"11/05/1999","291.00","293.70","294.00","288.50","21.27K","-0.92%"
"11/04/1999","293.70","293.20","294.00","291.70","23.49K","0.14%"
"11/03/1999","293.30","292.90","294.50","291.70","10.38K","0.31%"
"11/02/1999","292.40","291.50","294.40","289.70","15.12K","0.31%"
"11/01/1999","291.50","299.70","299.70","288.00","20.33K","-2.93%"
"10/29/1999","300.30","300.60","302.80","298.20","38.44K","-0.03%"
"10/28/1999","300.40","294.80","303.00","294.80","26.13K","2.11%"
"10/27/1999","294.20","290.40","295.00","287.60","33.93K","1.31%"
"10/26/1999","290.40","300.50","300.50","289.60","36.40K","-3.36%"
"10/25/1999","300.50","303.00","303.90","299.00","58.44K","-0.92%"
"10/22/1999","303.30","305.60","306.40","302.10","25.24K","-0.72%"
"10/21/1999","305.50","307.30","307.90","302.20","23.90K","-0.59%"
"10/20/1999","307.30","309.50","312.20","305.80","36.52K","-0.71%"
"10/19/1999","309.50","311.90","312.60","306.20","23.92K","-0.71%"
"10/18/1999","311.70","317.20","319.20","311.10","33.07K","-1.49%"
"10/15/1999","316.40","314.20","318.50","314.20","31.74K","0.70%"
"10/14/1999","314.20","322.10","324.90","312.30","30.98K","-2.36%"
"10/13/1999","321.80","318.50","325.30","316.90","47.34K","1.13%"
"10/12/1999","318.20","320.00","325.30","317.80","34.08K","-0.66%"
"10/11/1999","320.30","321.50","322.00","317.50","29.19K","-0.44%"
"10/08/1999","321.70","324.00","326.50","317.50","18.36K","-0.80%"
"10/07/1999","324.30","326.00","329.80","317.10","32.46K","-0.52%"
"10/06/1999","326.00","326.00","329.90","315.20","31.88K","0.00%"
"10/05/1999","326.00","318.50","339.00","318.50","69.40K","2.52%"
"10/04/1999","318.00","305.60","319.00","305.60","97.88K","4.16%"
"10/01/1999","305.30","299.10","310.00","297.00","47.99K","1.94%"
"09/30/1999","299.50","303.00","309.90","295.10","41.43K","-0.83%"
"09/29/1999","302.00","311.10","322.40","297.10","43.84K","-2.58%"
"09/28/1999","310.00","283.60","329.00","283.60","88.80K","9.23%"
"09/27/1999","283.80","269.80","287.80","269.60","173.22K","5.19%"
"09/24/1999","269.80","267.20","272.40","266.40","91.06K","0.94%"
"09/23/1999","267.30","265.40","267.80","263.40","80.93K","0.68%"
"09/22/1999","265.50","261.50","266.50","261.50","65.08K","1.41%"
"09/21/1999","261.80","255.90","261.90","255.40","74.73K","2.35%"
"09/20/1999","255.80","255.50","256.50","255.30","78.12K","-0.04%"
"09/17/1999","255.90","257.20","257.40","255.00","11.88K","-0.58%"
"09/16/1999","257.40","257.40","257.60","256.20","25.70K","0.04%"
"09/15/1999","257.30","258.40","258.70","256.90","12.86K","-0.35%"
"09/14/1999","258.20","257.90","258.30","257.00","20.09K","0.16%"
"09/13/1999","257.80","258.10","258.50","257.20","23.04K","-0.04%"
"09/10/1999","257.90","258.60","258.90","257.20","18.80K","-0.27%"
"09/09/1999","258.60","257.70","258.80","257.30","15.31K","0.35%"
"09/08/1999","257.70","257.30","257.80","256.70","26.60K","0.16%"
"09/07/1999","257.30","255.60","257.90","255.60","16.25K","0.70%"
"09/03/1999","255.50","256.80","257.40","254.80","33.07K","-0.47%"
"09/02/1999","256.70","255.80","257.00","255.30","23.27K","0.43%"
"09/01/1999","255.60","257.50","257.80","255.00","23.84K","-0.66%"
"08/31/1999","257.30","256.20","258.20","255.80","17.99K","0.59%"
