"Date","Price","Open","High","Low","Vol.","Change %"
"12/30/1999","5.453","5.425","5.470","5.370","11.72K","0.70%"
"12/29/1999","5.415","5.240","5.440","5.235","15.65K","3.30%"
"12/28/1999","5.242","5.255","5.270","5.225","24.21K","-0.25%"
"12/27/1999","5.255","5.230","5.285","5.215","2.46K","0.15%"
"12/23/1999","5.247","5.270","5.270","5.240","2.58K","-0.38%"
"12/22/1999","5.267","5.220","5.280","5.195","3.27K","1.29%"
"12/21/1999","5.200","5.230","5.240","5.185","6.26K","-0.67%"
"12/20/1999","5.235","5.265","5.275","5.230","5.99K","-0.51%"
"12/17/1999","5.262","5.250","5.310","5.235","3.22K","0.23%"
"12/16/1999","5.250","5.235","5.260","5.190","10.64K","0.48%"
"12/15/1999","5.225","5.240","5.250","5.205","6.14K","-0.10%"
"12/14/1999","5.230","5.170","5.260","5.150","4.66K","1.30%"
"12/13/1999","5.163","5.160","5.180","5.145","12.53K","-0.04%"
"12/10/1999","5.165","5.150","5.185","5.150","2.24K","0.23%"
"12/09/1999","5.153","5.170","5.170","5.130","3.40K","-0.23%"
"12/08/1999","5.165","5.195","5.225","5.130","3.18K","-0.54%"
"12/07/1999","5.193","5.155","5.200","5.145","7.91K","0.74%"
"12/06/1999","5.155","5.140","5.160","5.055","0.02K","0.19%"
"12/03/1999","5.145","5.135","5.160","5.105","6.14K","0.19%"
"12/02/1999","5.135","5.220","5.230","5.110","5.88K","-1.59%"
"12/01/1999","5.218","5.240","5.250","5.180","14.12K","-0.42%"
"11/30/1999","5.240","5.210","5.310","5.210","6.80K","0.61%"
"11/29/1999","5.208","5.250","5.255","5.200","13.30K","-0.52%"
"11/24/1999","5.235","5.285","5.285","5.215","13.81K","-0.95%"
"11/23/1999","5.285","5.195","5.290","5.185","","1.63%"
"11/22/1999","5.200","5.130","5.215","5.125","27.26K","1.36%"
"11/19/1999","5.130","5.150","5.180","5.120","17.13K","-0.39%"
"11/18/1999","5.150","5.115","5.155","5.110","10.27K","0.82%"
"11/17/1999","5.108","5.155","5.185","5.090","6.13K","-1.10%"
"11/16/1999","5.165","5.085","5.185","5.080","9.81K","1.31%"
"11/15/1999","5.098","5.080","5.105","5.055","12.59K","0.85%"
"11/12/1999","5.055","5.120","5.120","5.050","6.86K","-0.84%"
"11/11/1999","5.098","5.140","5.150","5.085","7.91K","-0.62%"
"11/10/1999","5.130","5.095","5.205","5.085","5.11K","0.83%"
"11/09/1999","5.088","5.055","5.120","5.055","15.95K","0.69%"
"11/08/1999","5.053","5.090","5.105","5.025","9.26K","-0.63%"
"11/05/1999","5.085","5.220","5.235","5.080","20.64K","-2.62%"
"11/04/1999","5.222","5.225","5.255","5.215","29.90K","-0.10%"
"11/03/1999","5.227","5.225","5.245","5.205","3.88K","0.04%"
"11/02/1999","5.225","5.220","5.230","5.180","4.57K","0.10%"
"11/01/1999","5.220","5.205","5.230","5.155","6.39K","0.77%"
"10/29/1999","5.180","5.285","5.330","5.170","11.03K","-1.89%"
"10/28/1999","5.280","5.200","5.290","5.200","14.74K","1.38%"
"10/27/1999","5.208","5.205","5.245","5.170","9.82K","-0.04%"
"10/26/1999","5.210","5.265","5.310","5.180","11.20K","-1.01%"
"10/25/1999","5.263","5.260","5.300","5.240","9.72K","0.25%"
"10/22/1999","5.250","5.230","5.260","5.200","7.45K","0.32%"
"10/21/1999","5.233","5.210","5.250","5.150","8.88K","0.54%"
"10/20/1999","5.205","5.225","5.280","5.200","20.79K","-0.34%"
"10/19/1999","5.223","5.245","5.265","5.170","7.61K","-0.32%"
"10/18/1999","5.240","5.360","5.380","5.205","14.51K","-1.84%"
"10/15/1999","5.338","5.340","5.410","5.320","21.56K","-0.04%"
"10/14/1999","5.340","5.610","5.675","5.300","14.77K","-4.64%"
"10/13/1999","5.600","5.560","5.640","5.550","33.27K","0.59%"
"10/12/1999","5.567","5.530","5.610","5.525","7.34K","0.63%"
"10/11/1999","5.532","5.525","5.575","5.510","8.70K","-0.32%"
"10/08/1999","5.550","5.600","5.630","5.490","4.91K","-0.80%"
"10/07/1999","5.595","5.535","5.630","5.535","13.02K","1.18%"
"10/06/1999","5.530","5.560","5.580","5.475","12.99K","-0.59%"
"10/05/1999","5.563","5.640","5.765","5.545","10.79K","-1.19%"
"10/04/1999","5.630","5.570","5.640","5.560","18.20K","0.86%"
"10/01/1999","5.582","5.610","5.715","5.520","10.96K","-0.59%"
"09/30/1999","5.615","5.595","5.640","5.550","22.43K","0.14%"
"09/29/1999","5.607","5.770","5.805","5.595","12.58K","-2.82%"
"09/28/1999","5.770","5.355","5.950","5.350","30.10K","7.75%"
"09/27/1999","5.355","5.260","5.400","5.260","65.58K","1.90%"
"09/24/1999","5.255","5.275","5.310","5.245","19.37K","-0.38%"
"09/23/1999","5.275","5.290","5.320","5.250","13.45K","-0.28%"
"09/22/1999","5.290","5.280","5.330","5.260","11.17K","0.15%"
"09/21/1999","5.282","5.120","5.290","5.115","15.17K","3.12%"
"09/20/1999","5.122","5.120","5.140","5.110","27.55K","-0.02%"
"09/17/1999","5.123","5.130","5.150","5.110","2.45K","-0.23%"
"09/16/1999","5.135","5.115","5.155","5.115","5.72K","0.39%"
"09/15/1999","5.115","5.160","5.170","5.105","4.68K","-0.78%"
"09/14/1999","5.155","5.180","5.200","5.145","11.29K","-0.52%"
"09/13/1999","5.182","5.225","5.230","5.155","7.08K","-0.82%"
"09/10/1999","5.225","5.235","5.255","5.200","9.28K","-0.29%"
"09/09/1999","5.240","5.225","5.285","5.210","6.45K","0.29%"
"09/08/1999","5.225","5.230","5.240","5.165","12.05K","0.00%"
"09/07/1999","5.225","5.175","5.235","5.175","9.17K","1.01%"
"09/03/1999","5.173","5.255","5.260","5.150","8.39K","-1.56%"
"09/02/1999","5.255","5.175","5.275","5.150","12.93K","1.35%"
"09/01/1999","5.185","5.220","5.250","5.165","11.16K","-0.67%"
"08/31/1999","5.220","5.150","5.270","5.115","9.18K","1.32%"
"08/30/1999","5.152","5.150","5.175","5.095","21.28K","-0.06%"
"08/27/1999","5.155","5.180","5.195","5.130","14.36K","0.49%"
"08/26/1999","5.130","5.100","5.150","5.075","7.31K","0.69%"
"08/25/1999","5.095","5.145","5.165","5.070","15.49K","-1.07%"
"08/24/1999","5.150","5.150","5.180","5.130","19.73K","0.10%"
"08/23/1999","5.145","5.250","5.285","5.140","14.34K","-2.09%"
"08/20/1999","5.255","5.220","5.270","5.180","19.49K","0.67%"
"08/19/1999","5.220","5.235","5.245","5.150","11.87K","-0.38%"
"08/18/1999","5.240","5.265","5.295","5.225","21.29K","-0.57%"
"08/17/1999","5.270","5.260","5.285","5.220","10.06K","0.25%"
"08/16/1999","5.257","5.325","5.325","5.230","11.17K","-1.22%"
"08/13/1999","5.322","5.370","5.385","5.305","12.05K","-0.93%"
"08/12/1999","5.372","5.420","5.450","5.360","10.24K","-0.79%"
"08/11/1999","5.415","5.345","5.425","5.335","7.62K","1.37%"
"08/10/1999","5.342","5.335","5.350","5.290","12.54K","0.09%"
"08/09/1999","5.337","5.390","5.405","5.305","6.74K","-1.39%"
"08/06/1999","5.412","5.430","5.450","5.350","13.25K","-0.42%"
"08/05/1999","5.435","5.510","5.560","5.405","11.21K","-1.27%"
"08/04/1999","5.505","5.460","5.570","5.450","21.61K","0.79%"
"08/03/1999","5.462","5.380","5.495","5.370","21.98K","1.43%"
"08/02/1999","5.385","5.460","5.470","5.350","10.53K","-1.46%"
"07/30/1999","5.465","5.435","5.490","5.410","10.88K","0.55%"
"07/29/1999","5.435","5.265","5.460","5.240","18.92K","3.23%"
"07/28/1999","5.265","5.190","5.275","5.160","29.96K","1.35%"
"07/27/1999","5.195","5.165","5.215","5.140","15.88K","0.58%"
"07/26/1999","5.165","5.170","5.185","5.115","8.80K","-0.14%"
"07/23/1999","5.172","5.155","5.200","5.135","5.23K","0.19%"
"07/22/1999","5.162","5.150","5.190","5.090","5.83K","0.39%"
"07/21/1999","5.142","5.085","5.170","5.040","9.02K","1.18%"
"07/20/1999","5.082","5.070","5.105","5.025","13.37K","0.24%"
"07/19/1999","5.070","5.110","5.110","5.065","10.76K","-0.69%"
"07/16/1999","5.105","5.120","5.155","5.080","4.20K","-0.43%"
"07/15/1999","5.127","5.100","5.145","5.060","0.00K","0.33%"
"07/14/1999","5.110","5.155","5.160","5.070","13.50K","-0.97%"
"07/13/1999","5.160","5.255","5.255","5.120","14.82K","-1.90%"
"07/12/1999","5.260","5.255","5.280","5.240","14.38K","-0.06%"
"07/09/1999","5.263","5.260","5.290","5.220","2.64K","-0.13%"
"07/08/1999","5.270","5.250","5.330","5.230","6.28K","0.38%"
"07/07/1999","5.250","5.225","5.270","5.185","13.02K","0.38%"
"07/06/1999","5.230","5.310","5.320","5.180","7.70K","-2.55%"
"07/02/1999","5.367","5.285","5.380","5.260","16.36K","1.23%"
"07/01/1999","5.302","5.300","5.380","5.260","14.42K","0.28%"
"06/30/1999","5.287","5.210","5.305","5.205","17.77K","1.54%"
"06/29/1999","5.207","5.170","5.240","5.140","21.53K","1.07%"
"06/28/1999","5.152","5.055","5.185","5.045","13.95K","1.72%"
"06/25/1999","5.065","5.120","5.150","5.050","22.29K","-1.27%"
"06/24/1999","5.130","5.100","5.150","5.090","14.64K","0.49%"
"06/23/1999","5.105","5.045","5.120","5.025","17.10K","1.29%"
"06/22/1999","5.040","5.020","5.070","5.010","14.91K","0.50%"
"06/21/1999","5.015","4.960","5.055","4.950","7.93K","1.11%"
"06/18/1999","4.960","5.075","5.100","4.930","7.11K","-2.23%"
"06/17/1999","5.073","5.030","5.080","5.020","17.20K","0.79%"
"06/16/1999","5.033","5.045","5.045","4.995","5.94K","-0.34%"
"06/15/1999","5.050","5.100","5.120","5.020","6.65K","-1.08%"
"06/14/1999","5.105","5.115","5.150","5.100","10.25K","-0.20%"
"06/11/1999","5.115","5.095","5.130","5.050","12.22K","0.39%"
"06/10/1999","5.095","5.030","5.140","5.015","7.67K","1.35%"
"06/09/1999","5.027","4.955","5.030","4.910","16.54K","1.76%"
"06/08/1999","4.940","4.985","4.995","4.925","10.65K","-0.80%"
"06/07/1999","4.980","4.940","5.000","4.940","6.44K","0.81%"
"06/04/1999","4.940","4.945","4.965","4.850","4.59K","0.04%"
"06/03/1999","4.938","4.970","5.000","4.920","16.89K","-0.80%"
"06/02/1999","4.978","4.985","5.025","4.945","6.20K","-0.14%"
"06/01/1999","4.985","4.900","5.010","4.885","8.02K","1.84%"
"05/28/1999","4.895","4.945","4.980","4.880","9.43K","-0.91%"
"05/27/1999","4.940","5.055","5.060","4.930","19.97K","-2.27%"
"05/26/1999","5.055","5.060","5.120","5.040","19.97K","-0.10%"
"05/25/1999","5.060","5.055","5.105","5.050","8.56K","0.10%"
"05/24/1999","5.055","5.220","5.220","5.050","9.40K","-2.98%"
"05/21/1999","5.210","5.305","5.335","5.190","24.00K","-1.88%"
"05/20/1999","5.310","5.295","5.355","5.290","14.62K","0.47%"
"05/19/1999","5.285","5.340","5.345","5.255","5.26K","-0.99%"
"05/18/1999","5.338","5.380","5.410","5.270","9.52K","-0.96%"
"05/17/1999","5.390","5.390","5.435","5.375","14.06K","0.00%"
"05/14/1999","5.390","5.580","5.580","5.340","3.86K","-3.23%"
"05/13/1999","5.570","5.375","5.580","5.365","18.39K","3.47%"
"05/12/1999","5.383","5.420","5.425","5.365","18.99K","-0.59%"
"05/11/1999","5.415","5.455","5.480","5.380","9.66K","-0.28%"
"05/10/1999","5.430","5.425","5.470","5.370","11.16K","-0.28%"
"05/07/1999","5.445","5.395","5.455","5.200","10.50K","1.08%"
"05/06/1999","5.387","5.395","5.450","5.375","8.70K","-0.19%"
"05/05/1999","5.397","5.325","5.410","5.305","8.70K","1.35%"
"05/04/1999","5.325","5.380","5.380","5.305","9.06K","-1.11%"
"05/03/1999","5.385","5.425","5.470","5.380","7.16K","-0.83%"
"04/30/1999","5.430","5.395","5.485","5.360","6.95K","0.31%"
"04/29/1999","5.413","5.275","5.420","5.265","24.27K","3.05%"
"04/28/1999","5.253","5.175","5.280","5.165","8.60K","1.35%"
"04/27/1999","5.183","5.100","5.190","5.085","16.97K","1.63%"
"04/26/1999","5.100","5.135","5.140","5.055","14.08K","-0.87%"
"04/23/1999","5.145","5.170","5.190","5.120","11.80K","-0.43%"
"04/22/1999","5.167","5.155","5.200","5.090","7.94K","0.23%"
"04/21/1999","5.155","5.130","5.170","5.085","11.36K","0.59%"
"04/20/1999","5.125","5.150","5.180","5.100","8.57K","-0.49%"
"04/19/1999","5.150","5.050","5.170","5.045","12.47K","2.18%"
"04/16/1999","5.040","5.005","5.065","4.995","23.22K","0.60%"
"04/15/1999","5.010","4.855","5.030","4.850","11.94K","3.09%"
"04/14/1999","4.860","4.920","4.950","4.820","25.65K","-0.92%"
"04/13/1999","4.905","4.895","4.940","4.825","10.73K","0.20%"
"04/12/1999","4.895","4.935","5.005","4.885","13.28K","-0.71%"
"04/09/1999","4.930","4.880","4.945","4.845","10.77K","0.92%"
"04/08/1999","4.885","4.960","4.985","4.880","19.86K","-1.51%"
"04/07/1999","4.960","4.950","4.985","4.935","13.66K","0.24%"
"04/06/1999","4.948","4.915","4.965","4.885","6.93K","0.61%"
